mirna,Patient_1,Control_10,Control_11,Patient_13,Patient_14,Patient_15,Patient_16,Patient_17,Patient_18,Patient_2,Control_20,Control_21,Control_22,Patient_25,Patient_26,Patient_27,Patient_28,Patient_29,Patient_3,Patient_30,Control_31,Control_33,Control_34,Control_35,Patient_37,Patient_38,Patient_39,Patient_4,Patient_40,Patient_41,Patient_42,Patient_43,Control_44,Control_45,Control_46,Control_47,Control_49,Patient_5,Control_50,Patient_6,Control_7,Control_9
cel-miR-39-3p,16,35,81,15,114,95,46,39,82,29,59,119,40,31,20,28,35,76,30,26,351,80,1,10,119,3,42,2,14,19,25,45,30,11,12,29,25,10,8,61,15,63
hsa-let-7a-3p,92,0,23,67,7,5,15,7,26,110,0,6,0,8,2,11,12,17,23,9,14,47,0,1,0,1,3,300,0,0,0,0,3,1,0,0,0,175,0,10,2,7
hsa-let-7a-5p,2861,199,1259,3147,2358,1624,1308,2729,2293,11898,27,586,50,885,613,3464,1300,3905,1639,2178,2276,6802,72,269,730,40,1614,7743,1601,431,5005,1527,688,181,230,114,97,3638,108,1776,83,744
hsa-let-7b-3p,8,4,10,2,12,9,8,10,8,42,1,3,2,7,2,13,10,18,12,3,50,36,1,1,0,0,1,21,1,1,1,0,2,0,0,0,1,8,0,9,0,8
hsa-let-7b-5p,4802,2254,6160,7515,7325,5989,4170,4333,5837,11937,430,3205,1295,2353,1446,6067,7250,7052,5186,4694,12892,24628,416,1293,5172,95,2971,12286,2927,1369,4619,2227,2628,585,3879,1518,1247,7135,764,4496,960,5885
hsa-let-7c-5p,78,25,62,236,135,53,123,128,96,325,5,45,11,54,35,50,122,182,156,109,104,677,8,9,26,0,63,331,47,46,110,48,15,9,22,3,6,132,7,99,7,59
hsa-let-7d-3p,431,263,452,476,630,643,425,369,446,1573,11,254,37,477,416,530,554,704,689,427,1784,1098,16,46,100,5,335,1174,297,71,398,99,66,31,67,37,59,615,25,741,81,381
hsa-let-7d-5p,926,67,162,557,314,246,196,321,210,2038,8,64,7,116,147,413,100,429,587,304,223,426,8,32,84,1,152,1748,219,52,587,155,44,27,13,9,7,762,6,343,26,93
hsa-let-7e-3p,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,4,0,0
hsa-let-7e-5p,129,11,31,43,58,86,29,158,95,190,0,15,0,26,41,59,5,76,72,50,14,59,1,0,11,3,24,178,23,7,90,16,12,2,2,0,2,98,7,77,4,28
hsa-let-7f-1-3p,26,0,2,20,0,7,0,1,2,48,0,1,0,0,0,0,0,9,8,6,0,0,0,0,0,0,0,63,0,0,0,1,0,0,0,0,0,20,0,4,0,0
hsa-let-7f-2-3p,7,0,0,6,0,0,0,0,0,2,0,0,0,2,0,0,0,0,6,1,1,3,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,6,0,0,0,0
hsa-let-7f-5p,2708,74,471,2958,1492,970,783,1814,2059,9706,29,295,27,671,534,1658,536,2044,1088,1146,1296,3873,30,116,313,22,865,8269,1005,190,1562,635,323,100,92,26,27,4194,64,1044,53,443
hsa-let-7g-5p,2110,103,393,1822,984,551,544,1021,1102,4763,13,277,27,351,256,1078,1044,1337,918,921,2506,6427,65,223,247,19,518,5238,514,77,951,355,200,74,248,95,118,2206,78,670,47,403
hsa-let-7i-3p,13,0,1,11,0,0,2,0,1,2,0,1,0,1,0,0,0,2,0,0,4,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0
hsa-let-7i-5p,8063,480,1071,7435,3009,1552,2098,1850,2354,14889,132,683,118,944,1138,2286,1146,2195,3844,1753,3081,6516,63,141,786,40,1476,23028,1540,369,3763,972,569,217,421,149,169,13889,102,1950,330,1165
hsa-miR-100-5p,61,29,213,33,163,44,108,26,53,1639,9,76,35,42,15,118,131,107,134,93,336,555,5,13,6,10,10,89,5,1,2,0,1,17,1,0,14,184,1,106,41,225
hsa-miR-101-3p,2477,609,959,1125,941,644,940,692,957,2651,31,510,43,361,477,774,1304,1514,1113,690,3293,6617,69,170,97,10,137,3267,80,20,32,71,63,21,50,41,71,2519,16,624,285,1279
hsa-miR-101-5p,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-103a-3p,1732,76,18,101,275,151,205,123,87,2312,16,32,13,63,99,67,59,91,770,144,165,270,7,3,6,2,33,723,10,10,159,13,10,11,18,4,7,788,2,142,28,65
hsa-miR-103b,672,20,135,664,171,80,62,92,177,989,10,94,8,67,62,171,121,236,258,93,123,211,2,4,0,0,3,1607,12,0,47,17,0,1,2,0,3,484,0,120,23,58
hsa-miR-106a-5p,15,5,8,5,7,2,6,2,19,17,1,5,0,3,5,13,3,17,2,3,22,29,1,0,1,0,2,25,4,0,0,0,0,0,0,0,0,23,0,13,0,8
hsa-miR-106b-3p,368,14,9,189,63,67,84,74,50,465,1,24,8,24,20,82,77,88,242,94,290,210,4,17,12,0,25,432,13,1,43,14,6,2,6,4,0,368,1,52,15,55
hsa-miR-106b-5p,93,13,14,24,32,18,27,2,17,59,0,9,3,13,11,34,30,37,56,22,88,197,2,8,12,0,0,80,3,0,0,0,2,0,0,3,1,64,0,5,6,23
hsa-miR-107,30,2,1,28,30,13,35,23,9,54,2,5,2,4,2,20,27,3,21,19,35,30,0,27,0,0,0,90,0,9,2,0,2,1,0,0,0,53,0,3,18,23
hsa-miR-10a-3p,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3
hsa-miR-10a-5p,849,124,847,1620,830,502,644,868,997,2299,14,338,49,351,457,633,562,1144,860,521,2823,2429,30,55,112,10,154,3640,182,31,163,53,73,22,15,18,42,1220,13,971,39,1153
hsa-miR-10b-3p,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10b-5p,79,84,719,121,529,239,216,422,347,520,8,293,24,162,172,291,403,576,215,159,2950,1888,33,33,16,2,27,361,46,12,24,33,20,1,10,14,20,67,1,720,49,1388
hsa-miR-1180-3p,50,102,132,28,61,95,100,24,53,98,7,36,18,18,29,48,124,109,62,59,280,298,2,22,6,0,8,48,3,0,46,20,1,4,47,8,30,54,1,50,32,132
hsa-miR-1185-1-3p,15,0,0,17,5,14,0,4,4,84,0,0,0,0,9,3,0,1,9,5,0,0,0,0,0,0,4,19,0,0,0,0,0,0,0,0,0,20,0,1,0,12
hsa-miR-1185-2-3p,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
