mirna,P35,P88,P129,P167,P190,P276,P303,P337,P385,P391,P444,P449,P452,P465,P489,P491,P504,P507,P517,P520,P524,P531,P536,P540,P546,P551,P554,P587,P597,P606,P627,P638,P676,P680,P694,P727,P737,A158,A189,A223,A233,A254,A308,A319,A336,A346,A350,A426,A512,A534,A557,A607,A618,A640,A642,A649,A655,A686,A695,A700,A717,A721,A724,A734,A747,A755,A758,A766,A781,A790
hsa-miR-3936,0,0,0,0,0,0,0,0,0,0,0.110455714471651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146251285202923,0,0,0,0,0,0,0.372533506666515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22570486471216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.774001213568353,0,0,0,0,0
hsa-miR-6812-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1962103338789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4687-5p,0,0.376483321042616,0.791900765544314,0,1.59408335761343,0.906466489307754,2.4123435703971,0,0,0,0,0,0,0,0,0,0,0,0.461012752540029,0,0,0.489299102103449,0,0,0,0,0,0.0731256426014616,0,0,0,0,0,0,0,0,0,1.01364071318288,0.567482427253902,0,0,0.7848413355156,0,4.62636391748671,0,0.360024829260384,2.81299472102769,0,0.384620336209547,0,0.583001385845254,0,0,0,0,0,0,0,0.434537463895555,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6864-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-671-5p,14.8914405934056,1.12944996312785,3.16760306217726,3.62342767033198,1.59408335761343,0.906466489307754,4.8246871407942,6.98363151244762,9.33770050761212,0,0,0,0,0,0,0,0,0,0.461012752540029,0,0,0,0,0,0,0,3.47306551315397,0,0,0,0.673436884786365,0,0,0,0,0,0,1.82455328372918,6.24230669979293,0,2.58086726949127,4.5128376792147,0,3.08424261165781,6.32516455113162,1.08007448778115,2.81299472102769,3.13757158765897,2.30772201725728,2.22570486471216,0.291500692922627,0,0,0,0,20.8823361898354,0,0,1.30361239168666,4.69641876069248,0,0,3.08997549184386,0,0.774001213568353,12.6162215649118,0,2.89646314437314,0,0
hsa-miR-3157-3p,0,0.188241660521308,0.527933843696209,0.724685534066395,2.39112503642014,1.81293297861551,0,0,0,0,0.331367143414954,0,0.810365430982457,0.477903319945233,3.18944728135672,0,0,4.38347412619899,0,0,0,0,3.10212019799124,0,0,0,0.694613102630794,0.511879498210231,1.30521623064318,1.08516515553982,2.02031065435909,2.17751662557066,0,0,0.651933636666401,0,0,0.810912570546303,0.567482427253902,0,4.51651772160972,0.1962103338789,0,7.71060652914452,0.903594935875945,2.52017380482269,0.937664907009229,1.88254295259538,0.769240672419094,15.5799340529851,0.583001385845254,0.364870414016169,5.73426422475557,0,0.887903226196409,0,0,0,2.60722478337333,0,0,0,1.54498774592193,1.78697837663656,0,2.10270359415196,5.61724527746812,1.44823157218657,0,4.68960555087943
hsa-miR-449b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6855-5p,0,0.188241660521308,0,0,1.59408335761343,0,0,0,0,0,0.110455714471651,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35336883054716,0,0.694613102630794,0.365628213007308,0,0,0,0,0,0,0,0,0,0.405456285273151,0,0,0,0,0,0,0,0,0,0.627514317531794,0,0,0.291500692922627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-361-3p,178.697287120867,113.509721294349,92.1244557249886,126.095282927553,81.2982512382848,117.840643610008,101.318429956678,69.8363151244762,56.0262030456727,44.9311746085356,70.5812015473853,56.3085549668873,55.1048493068071,68.3401747521683,105.251760284772,82.395279972594,56.5674746403393,83.2860083977808,72.8400149013246,64.5831629005553,39.3748742990079,96.3919231143795,140.215832949204,115.786825566852,93.3824493077539,135.57212953781,134.060328807743,65.5205757709096,85.817967164789,155.178617242194,110.443649104964,94.3590537747287,202.974592808488,137.298078615669,47.9636889833138,0,101.663338941949,77.8476067724451,165.137386330886,197.869239870322,98.0729562406683,116.156517656309,48.7768046915041,100.237884878879,73.1911898059516,63.3643699498276,84.3898416308306,60.868888800584,80.7702706040048,28.9341632412581,63.2556503642101,64.9469336948781,74.864005156531,86.3047306335225,69.2564516433199,62.6470085695063,50.5741197393753,197.723402841699,129.492164240875,126.803306538697,0,173.501599910391,120.509044181911,62.5442431822798,88.6231389535764,88.3135509543823,88.0035093470005,102.824441625246,207.84762546535,117.240138771986
hsa-miR-484,491.417539582384,750.331258837934,621.906067874135,719.612735327931,1112.67018361417,2114.78631955499,2350.82880935197,1225.62733043456,1171.88141370532,404.380571476821,101.177434456033,100.88616098234,121.554814647369,66.4285614723874,102.062313003415,38.4872689345669,67.8809695684071,48.2182153881889,103.266856568966,47.4130168726131,383.905024415327,65.5660796818622,65.1445241578161,203.504117662952,63.6083350357164,66.8313314623008,248.671490741824,127.238618126543,113.553812065957,66.1950744879289,114.484270413682,481.231174251117,109.715996112696,399.169048072873,181.330684369926,0,39.9391688700513,1485.9972855261,604.368785025406,836.889571910543,327.124926408018,462.271546618688,3139.45252014408,1118.03794672595,1598.45944156455,1292.48913704478,2135.06299326002,663.910147948638,961.550840523867,807.930865890513,632.848004335023,958.879448034493,1054.1489066509,286.754427588801,188.235483953639,2443.23333421074,305.365254628886,728.365697647627,1682.52906020359,1324.39009051528,1066.70021333153,636.172533004768,1245.26012321308,1645.80708488228,1804.9708300414,721.227332794122,722.752225700898,890.662416894739,779.428595495062,511.167005045858
