mirna,earlyOA24,earlyOA28,earlyOA29,earlyOA30,earlyOA31,earlyOA63,earlyOA64,earlyOA76,earlyOA78,earlyOA87,earlyOA100,earlyOA101,earlyOA103,earlyOA107,earlyOA115,earlyOA138,earlyOA156,earlyOA19,earlyOA88,earlyOA93,earlyOA150,earlyOA161,earlyOA46,earlyOA50,earlyOA112,earlyOA115W,earlyOA116,earlyOA121,earlyOA53R,earlyOA54R,earlyOA56R,earlyOA58R,earlyOA168,earlyOA102,earlyOA109,earlyOA124,earlyOA145,earlyOA149,earlyOA151,earlyOA77,earlyOA98,lateOA100,lateOA111,lateOA25,lateOA273,lateOA342,lateOA44,lateOA476,lateOA93,lateOA259,lateOA275,lateOA280,lateOA305,lateOA370,lateOA40,lateOA411,lateOA419,lateOA506,lateOA69,lateOA77,lateOA97,lateOA121,lateOA141,lateOA249,lateOA251,lateOA341,lateOA425,lateOA48,lateOA65,lateOA1009,lateOA1057R,lateOA105R,lateOA138R,lateOA316R,lateOA675,lateOA854,lateOA903,lateOA904,lateOA927,lateOA968,lateOA998,lateOA1033,lateOA1068,lateOA1140,lateOA748,lateOA754,lateOA779,lateOA784,lateOA825,lateOA875,lateOA929
hsa-let-7a-2-3p,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-let-7a-3p,14,56,31,25,18,13,11,6,8,25,23,19,21,13,29,11,22,34,21,24,13,36,35,6,6,15,5,4,28,9,45,21,30,8,6,10,5,7,7,5,5,20,9,44,37,23,38,8,3,11,52,55,8,11,7,28,43,7,14,25,21,39,14,13,10,8,62,14,89,17,23,11,25,38,37,17,16,37,8,5,27,10,14,7,25,25,17,37,21,7,24
hsa-let-7a-5p,64399,97997,61484,85803,135579,25678,44348,21770,45357,81192,95680,48583,38477,152182,270394,25205,132772,123369,70058,66065,340389,117047,69486,28753,123317,77632,72788,19526,61753,60084,256536,165632,353915,291103,27780,309234,37446,58743,14245,40429,79445,75595,24827,93691,48417,65724,46580,42475,31159,42385,167801,104395,76697,40725,87648,74940,99653,34796,51084,64174,44763,55667,75201,31799,36070,36181,81060,87986,197747,17340,63728,22244,113133,90211,79627,56098,49976,65940,17606,19438,88103,43898,64175,49332,82504,73040,20921,89907,52762,27608,60213
hsa-let-7b-3p,26,65,40,26,47,14,32,14,27,38,40,32,28,43,54,46,50,47,39,38,41,55,55,15,18,36,19,16,33,21,64,40,51,24,11,25,10,6,13,21,14,24,20,59,57,25,65,23,16,20,72,63,19,16,24,43,54,9,26,41,33,42,19,20,15,26,81,43,82,18,29,16,31,79,41,49,18,44,13,19,54,9,24,29,46,33,23,48,43,17,32
hsa-let-7b-5p,79796,91197,100619,124035,158522,35768,54612,29939,60349,94134,121620,57414,56842,123711,116066,44018,146374,163203,101951,83248,125268,207224,87966,40316,62239,85520,68428,19644,63865,64476,125163,98352,134455,120721,25944,159481,27106,43461,14933,25414,40382,119220,31846,154156,93666,98822,78225,52493,73204,77620,197185,171082,113352,45022,149922,98833,116196,44642,86618,87992,62227,91963,168741,43656,65147,56535,128043,119114,273513,29496,96187,34767,149070,117561,143578,71427,88342,124813,28189,30288,120305,63353,76597,80062,99727,90911,29901,114296,74920,37533,101256
hsa-let-7c-3p,1,1,1,1,2,0,0,3,0,1,3,2,0,0,1,1,3,4,3,0,0,0,4,0,0,1,0,0,1,3,1,0,4,0,0,1,0,1,0,0,0,0,0,3,4,1,3,0,0,1,3,1,1,1,0,0,3,0,2,1,0,0,1,0,1,0,1,1,5,1,1,0,1,5,0,0,1,1,1,0,1,1,0,1,2,1,0,0,1,0,0
hsa-let-7c-5p,733,763,560,1074,2589,512,1015,719,680,749,1041,492,497,1267,2389,399,1147,841,939,756,2767,1126,889,206,1403,1427,697,221,1017,814,3077,2192,2535,2707,306,2229,366,684,151,1079,966,643,469,756,950,671,707,305,3797,743,1063,687,791,359,2323,575,682,372,2720,708,462,620,1900,486,420,280,699,744,1268,274,700,238,696,1589,661,431,498,514,163,152,569,375,460,490,609,676,327,813,409,184,561
hsa-let-7d-3p,927,983,776,1293,2542,323,779,266,703,790,432,595,595,957,1731,551,661,839,549,881,1781,679,812,223,1550,2111,860,302,676,703,2909,1700,1973,2089,305,2166,289,485,180,883,889,450,236,769,697,614,613,401,156,257,1261,864,453,160,400,672,960,305,433,515,416,470,366,271,252,276,788,505,1145,322,422,216,549,764,832,423,358,904,204,178,677,390,294,399,627,546,354,621,527,241,527
hsa-let-7d-5p,5643,6844,6781,7281,16004,2635,4540,1544,4115,7025,7702,4500,3613,8826,14860,1975,9084,11525,7604,5611,19134,6898,4253,1985,2911,4996,3233,1642,3689,3950,17637,12707,28082,9631,1004,18186,1712,2866,786,1551,4836,4698,1927,9097,4017,4593,3121,3599,1381,3042,13575,10222,4686,2533,5964,7050,10470,2501,5622,5909,3702,6685,4981,2569,2053,2484,7655,4813,19724,1550,6237,2724,10101,10080,8714,5472,4865,5111,1604,1703,6727,4646,5245,2986,6119,6829,1922,6581,3874,3549,5803
hsa-let-7e-3p,0,2,1,2,11,0,6,0,1,1,2,0,0,2,5,2,0,1,4,3,4,1,2,0,0,9,0,0,2,3,7,7,6,10,1,5,0,3,0,0,1,0,1,2,3,1,0,1,0,0,1,0,0,0,0,0,3,0,0,1,1,2,0,0,0,0,1,1,0,1,0,0,1,3,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
