mirna,GSM4654614_P1,GSM4654615_P2,GSM4654616_P3,GSM4654617_P4,GSM4654618_P5,GSM4654619_P6,GSM4654620_N1,GSM4654621_N2,GSM4654622_N3
hsa-let-7a-2-3p,0,0,0,0,0,0,0,0,0
hsa-let-7a-3p,35,67,379,12,41,44,49,23,33
hsa-let-7a-5p,14267,26058,32316,8219,12377,33709,21837,21704,24340
hsa-let-7b-3p,74,102,175,37,30,190,133,147,199
hsa-let-7b-5p,208769,300118,457995,64364,64950,338821,390223,275736,315032
hsa-let-7c-3p,1,8,5,2,2,19,3,4,0
hsa-let-7c-5p,1009,4151,2662,795,765,2345,1395,1439,1657
hsa-let-7d-3p,2151,2233,4942,1185,738,5121,4029,4658,5343
hsa-let-7d-5p,1929,2394,3639,1238,1877,3248,1696,2026,2085
hsa-let-7e-3p,6,11,20,3,9,8,1,0,5
hsa-let-7e-5p,520,1051,1065,266,254,770,518,635,979
hsa-let-7f-1-3p,33,41,36,20,41,71,20,14,26
hsa-let-7f-2-3p,3,3,16,2,10,0,0,1,7
hsa-let-7f-5p,13416,9985,25606,9465,17191,12592,8927,9696,17479
hsa-let-7g-3p,4,1,4,4,1,0,3,0,0
hsa-let-7g-5p,16757,12283,34065,9234,13958,17561,16862,12207,19429
hsa-let-7i-3p,11,9,41,6,9,17,12,12,14
hsa-let-7i-5p,79524,37435,82812,40971,91323,38749,33908,25123,44367
hsa-miR-1,299,222,195,214,246,60,40,85,44
hsa-miR-7-1-3p,0,4,0,0,4,0,0,3,0
hsa-miR-7-2-3p,0,0,0,0,0,0,0,0,0
hsa-miR-7-5p,934,1138,2864,457,492,1200,1333,834,1593
hsa-miR-9-3p,1,0,3,7,11,1,1,4,4
hsa-miR-9-5p,13,20,15,9,12,8,8,6,16
hsa-miR-10a-3p,9,2,34,4,5,4,10,0,13
hsa-miR-10a-5p,9713,22838,30380,7669,5769,17902,12872,12748,18945
hsa-miR-10b-3p,2,32,42,13,11,25,4,15,17
hsa-miR-10b-5p,20554,118827,97380,24715,9314,50736,27473,27724,39740
hsa-miR-15a-3p,0,0,0,0,0,0,0,0,0
hsa-miR-15a-5p,23,19,89,8,18,27,23,17,5
hsa-miR-15b-3p,77,65,131,32,88,105,123,54,53
hsa-miR-15b-5p,110,118,326,48,106,306,77,67,74
hsa-miR-16-1-3p,5,0,0,0,0,0,4,0,2
hsa-miR-16-2-3p,10108,17234,25082,2362,3104,20984,18980,11847,12872
hsa-miR-16-5p,1139,1539,4387,702,1072,2235,1660,1486,1702
hsa-miR-17-3p,1,0,4,2,3,0,0,2,6
hsa-miR-17-5p,602,548,1174,306,493,652,609,447,522
hsa-miR-18a-3p,73,71,188,58,19,242,155,138,151
hsa-miR-18a-5p,46,36,53,20,32,48,59,40,10
hsa-miR-18b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-18b-5p,0,1,5,0,0,0,4,1,0
hsa-miR-19a-3p,151,120,512,150,282,76,102,122,148
hsa-miR-19a-5p,0,0,0,0,0,0,0,0,0
hsa-miR-19b-1-5p,0,0,0,1,0,0,0,0,0
hsa-miR-19b-2-5p,0,0,0,0,0,0,0,0,0
hsa-miR-19b-3p,90,94,355,73,128,90,37,67,65
hsa-miR-20a-3p,0,0,0,0,0,0,0,0,0
hsa-miR-20a-5p,865,1296,2637,680,884,1051,1097,1041,1160
hsa-miR-20b-3p,5,1,8,0,0,6,0,1,0
hsa-miR-20b-5p,88,115,282,57,53,208,197,149,167
hsa-miR-21-3p,30,38,26,21,58,6,5,2,19
hsa-miR-21-5p,38649,13809,39288,31699,64054,10596,6595,11332,23739
hsa-miR-22-3p,6308,5872,13874,2816,4172,9092,6167,4360,6259
hsa-miR-22-5p,150,152,325,77,132,168,89,82,122
hsa-miR-23a-3p,388,244,234,313,914,188,83,131,168
hsa-miR-23a-5p,33,23,33,13,21,68,10,14,11
hsa-miR-23b-3p,37,19,17,23,72,10,8,8,15
hsa-miR-23b-5p,26,53,45,16,26,37,8,19,35
hsa-miR-23c,0,0,0,0,0,0,0,0,0
hsa-miR-24-1-5p,18,26,39,9,13,28,12,4,27
hsa-miR-24-2-5p,113,127,245,96,132,63,89,84,124
hsa-miR-24-3p,7184,5102,7617,4987,7827,4152,2621,2748,4378
hsa-miR-25-3p,58836,72541,101567,17326,22517,101123,84676,40708,60375
hsa-miR-25-5p,116,116,240,34,14,228,152,91,150
hsa-miR-26a-1-3p,1,0,6,1,6,0,0,0,3
hsa-miR-26a-2-3p,4,1,5,1,4,0,1,0,0
hsa-miR-26a-5p,29801,6258,22142,22056,39211,9678,5425,7865,15774
hsa-miR-26b-3p,27,18,3,22,22,16,10,6,44
hsa-miR-26b-5p,2489,1242,4468,1875,3501,1685,1677,1512,1864
hsa-miR-27a-3p,3355,6395,9904,2434,3677,3496,2335,2267,3367
hsa-miR-27a-5p,27,25,116,29,27,39,28,21,63
hsa-miR-27b-3p,2831,4270,6610,2138,3276,2404,1328,1121,2206
hsa-miR-27b-5p,19,23,16,10,28,6,0,7,18
hsa-miR-28-3p,4387,1870,1778,1744,2909,1724,971,855,1567
hsa-miR-28-5p,140,22,84,54,118,44,15,19,90
hsa-miR-29a-3p,612,994,1931,387,648,1048,554,503,726
hsa-miR-29a-5p,0,0,0,0,0,3,0,0,0
hsa-miR-29b-1-5p,0,2,0,0,0,0,0,0,0
hsa-miR-29b-2-5p,0,4,0,0,0,0,4,3,2
hsa-miR-29b-3p,15,5,29,9,2,21,5,2,0
hsa-miR-29c-3p,2,7,47,7,13,7,0,6,19
hsa-miR-29c-5p,7,6,13,0,3,2,4,6,17
hsa-miR-30a-3p,462,556,765,247,226,427,248,193,431
hsa-miR-30a-5p,1602,2971,4190,1145,1037,1939,1516,1651,1988
hsa-miR-30b-3p,25,16,15,15,17,14,12,20,35
hsa-miR-30b-5p,26,15,6,26,48,34,14,2,4
hsa-miR-30c-1-3p,14,10,18,6,14,19,12,14,7
hsa-miR-30c-2-3p,5,12,27,0,3,9,10,26,8
hsa-miR-30c-5p,569,260,427,320,490,533,379,311,486
hsa-miR-30d-3p,26,21,22,16,18,15,7,5,4
hsa-miR-30d-5p,93746,49043,76639,48855,56392,77657,64091,51725,70305
hsa-miR-30e-3p,3578,851,1518,1577,2890,901,690,580,1256
hsa-miR-30e-5p,2834,3042,8301,2279,3278,3618,3109,3205,3561
hsa-miR-31-3p,0,0,0,0,0,0,0,0,0
hsa-miR-31-5p,0,0,0,1,0,0,0,0,2
hsa-miR-32-3p,7,5,5,5,5,0,0,0,5
