"mir_name","NPC0023_NPC","NPC0027_NPC","NPC0028_NPC","NPC0031_NPC","NPC0032_NPC","NPC0036_NPC","NPC0038_NPC","NPC0039_NPC","NPC0043_NPC","NPC0045_NPC","NPC0047_NPC","NPC0049_NPC","NPC0052_NPC","NPC0054_NPC","NPC0055_NPC","NPC0056_NPC","NPC0060_NPC","NPC0062_NPC","NPC0063_NPC","NPC0067_NPC","NPC0068_NPC","NPC0070_NPC","NPC0076_NPC","NPC0077_NPC","PAC0019_PAC","PAC0068_PAC","PAC0092_PAC","PAC0094_PAC","PAC0101_PAC","PAC0106_PAC","PAC0110_PAC","PAC0113_PAC","PAC0121_PAC","PAC0125_PAC","PAC0126_PAC","PAC0128_PAC","PAC0130_PAC","PAC0135_PAC","PAC0137_PAC","PAC0141_PAC","PAC0148_PAC","PAC0183_PAC","PAC0186_PAC","PAC0191_PAC","PAC0193_PAC","PAC0196_PAC","PAC0198_PAC","PAC0200_PAC","PAC0202_PAC","PAC0203_PAC","PAC0204_PAC","PAC0208_PAC","PAC0211_PAC","PAC0214_PAC","PAC0215_PAC","PAC0219_PAC","PAC0221_PAC","PAC0006_PAC","PAC0056_PAC","PAC0007_PAC","PAC0057_PAC","PAC0008_PAC","PAC0058_PAC","PAC0009_PAC","PAC0059_PAC","PAC0010_PAC","PAC0060_PAC","PAC0011_PAC","PAC0062_PAC","PAC0012_PAC","PAC0063_PAC","PAC0013_PAC","PAC0064_PAC","PAC0014_PAC","PAC0065_PAC","PAC0015_PAC","PAC0069_PAC","PAC0016_PAC","PAC0070_PAC","PAC0017_PAC","PAC0071_PAC","PAC0018_PAC","PAC0072_PAC","PAC0020_PAC","PAC0074_PAC","PAC0021_PAC","PAC0075_PAC","PAC0022_PAC","PAC0076_PAC","PAC0023_PAC","PAC0077_PAC","PAC0024_PAC","PAC0078_PAC","PAC0025_PAC","PAC0083_PAC","PAC0026_PAC","PAC0084_PAC","PAC0027_PAC","PAC0086_PAC","PAC0029_PAC","PAC0087_PAC","PAC0030_PAC","PAC0088_PAC","PAC0031_PAC","PAC0091_PAC","PAC0032_PAC","PAC0093_PAC","PAC0033_PAC","PAC0097_PAC","PAC0034_PAC","PAC0098_PAC","PAC0035_PAC","PAC0099_PAC","PAC0036_PAC","PAC0100_PAC","PAC0037_PAC","PAC0102_PAC","PAC0038_PAC","PAC0103_PAC","PAC0039_PAC","PAC0105_PAC","PAC0040_PAC","PAC0107_PAC","PAC0041_PAC","PAC0108_PAC","PAC0042_PAC","PAC0109_PAC","PAC0043_PAC","PAC0111_PAC","PAC0044_PAC","PAC0114_PAC","PAC0045_PAC","PAC0117_PAC","PAC0046_PAC","PAC0118_PAC","PAC0047_PAC","PAC0120_PAC","PAC0048_PAC","PAC0122_PAC","PAC0049_PAC","PAC0124_PAC","PAC0050_PAC","PAC0127_PAC","PAC0051_PAC","PAC0129_PAC","PAC0052_PAC","PAC0131_PAC","PAC0053_PAC","PAC0134_PAC","PAC0054_PAC","PAC0139_PAC","PAC0055_PAC","PAC0140_PAC"
"hsa-let-7a-5p",34884,29245,31451,93596,35398,24067,26435,40325,68136,45665,23937,189939,40766,50175,44787,132870,157179,1147951,1236393,36159,178940,53096,1420768,947211,246751,644675,95941,472098,62116,77325,1317536,349058,461701,77337,54863,447398,50436,155772,51314,97918,854355,81261,163213,132828,108498,223460,995255,108827,305448,67698,132652,110073,161729,127056,256374,461392,38418,351961,327750,57451,119018,296301,175747,143953,125690,32769,187366,81987,347984,106423,189422,141546,125672,137627,233704,160899,164181,107190,162147,106092,450145,140295,120453,6542,216214,117537,93638,6680,101364,130784,617549,113576,122610,175218,212129,97757,486516,233219,527933,205971,66481,300583,151514,120888,181949,11497,124705,430622,88105,392937,53097,71218,66154,282298,100117,85697,88160,167236,69213,203458,355823,140413,163432,59110,68897,142807,28925,133700,76714,288530,54483,269313,86409,36462,52179,127509,234169,200675,159472,159352,90617,52475,81929,1338560,115722,260100,38679,440212,30796,516326,30177,164505,16040
"hsa-let-7b-3p",4,7,5,21,2,4,7,16,20,10,6,171,2,7,6,19,9,69,41,7,12,5,79,51,13,639,28,52,10,17,254,14,534,13,9,197,14,13,27,22,54,19,27,25,32,43,45,23,52,15,2,19,15,18,114,91,4,29,41,13,24,28,10,4,11,4,4,4,23,5,2,14,9,12,23,10,45,3,16,0,36,51,22,12,23,55,15,25,22,32,197,39,24,9,29,8,94,45,46,46,19,87,22,15,58,2,33,122,13,19,3,3,15,15,11,5,10,12,18,7,76,11,16,1,27,9,1,8,12,16,6,13,8,14,8,14,24,1,18,1,29,0,29,76,20,14,27,44,3,237,3,13,12
"hsa-let-7b-5p",26882,22613,26883,76656,28311,22728,22167,33662,45169,32079,22113,136187,33903,41362,34440,116946,118387,434710,540045,26046,119277,34901,418278,544517,123884,907222,84442,433032,57876,66216,941684,227022,506656,67356,41059,423965,39945,114394,46212,79821,368774,74687,154919,102247,110613,192907,541478,99919,181602,61339,56836,91894,113216,117498,295938,425891,34538,140309,177866,28531,61206,98561,69758,39361,51680,11269,87729,25917,179071,29060,74927,40292,71850,51152,72910,46639,85840,28730,77124,27153,188833,54405,55531,5421,85847,69925,49261,7582,59941,70685,245810,35646,70898,55292,116727,30796,275383,99577,297490,91427,37192,139461,61988,44871,100176,9770,72471,283141,35473,134680,22922,27887,27810,87953,52787,32050,53190,62284,39393,67611,276750,58067,103227,20792,45463,55865,14342,50935,42778,101931,35552,76934,48081,29540,32492,52335,91960,63071,75450,52775,68993,18606,46805,536660,88791,82485,26752,213744,14760,417915,19111,80000,8377
"hsa-let-7c-5p",504,389,532,1276,596,523,465,649,866,743,470,44910,550,737,920,1889,2283,9837,13753,591,1901,815,11870,9250,2909,5628,1558,5702,1200,1475,5393,4835,4648,1284,872,4125,797,2471,1418,1562,9664,909,2611,1579,3240,2878,10939,1762,4996,1392,1403,1347,1496,1960,6083,14062,461,3745,2654,2247,3205,2180,2005,1421,1793,1115,2241,847,2239,1436,1713,1633,1776,1249,3200,1674,1377,1283,1857,1217,3434,2407,1138,130,2060,2807,1487,188,1193,1868,5613,1824,1052,2425,2453,1133,3721,2560,9225,2457,1261,2290,1873,2965,3421,230,1648,5200,890,3140,617,1363,636,2459,1451,1267,1503,1650,1285,1960,3529,1736,1356,563,805,2198,299,1817,986,2043,606,2182,833,446,717,2547,1579,1475,2590,1846,991,429,884,6033,1473,2555,648,3524,378,3816,598,1727,276
"hsa-let-7d-3p",176,181,151,681,164,216,171,423,329,238,154,4725,181,187,190,744,564,3932,3040,166,527,161,4102,2378,538,7153,792,1767,424,567,2863,1077,4905,533,344,3467,412,490,695,787,2303,508,750,553,963,962,2243,920,1624,504,267,696,704,671,2691,3046,152,1559,990,253,721,625,253,141,255,37,280,93,454,169,246,211,459,331,640,235,1416,104,515,82,1269,702,303,171,539,481,357,167,483,596,2814,131,708,273,762,207,1912,921,842,771,318,905,478,413,774,79,627,2078,236,442,136,121,349,358,303,191,262,353,370,273,1737,278,702,72,458,132,75,143,252,705,224,373,279,248,157,206,397,239,683,99,648,52,396,1843,573,345,269,912,86,3343,111,273,165
"hsa-let-7d-5p",1364,1109,1037,1745,1383,812,1039,1163,1689,1113,834,3166,1562,1524,1384,3560,5257,49271,33662,1136,4025,1386,48799,24145,4774,28854,2329,9943,1485,1676,39751,7246,23128,1655,1195,10503,1322,3210,1161,2064,20748,2072,3577,3279,2655,4423,21386,2131,5219,1593,2809,2940,3888,2688,5328,12843,1217,13976,8652,2146,3716,10533,6030,2664,4341,510,7075,1866,8856,2750,6169,3452,4153,2808,5024,3950,6369,2223,3948,1527,10622,3179,1996,423,4782,2857,2227,412,3206,3344,17459,2915,5288,4633,6131,2380,13016,6238,11316,5792,1597,9101,3640,4077,5051,410,3450,12523,1872,6377,1066,2127,1375,5683,1709,2056,2270,4147,2016,5582,11664,3343,4488,1812,2189,2903,565,2819,1646,7724,1120,6464,1843,1760,763,3754,3200,4582,3073,4788,2671,1366,1535,27483,2313,7231,1520,11401,478,22012,608,4007,590
"hsa-let-7e-5p",721,354,326,442,701,403,491,359,530,380,362,2354,660,828,679,940,2830,37271,23705,576,1156,644,22736,9833,2344,1257,815,2868,614,485,1800,4731,685,754,387,1201,414,1466,481,582,9026,426,657,758,713,1135,5932,981,701,580,949,593,909,1040,707,1164,510,2080,408,457,876,978,500,768,400,215,1000,528,379,1273,498,1325,269,636,1952,1138,244,931,642,976,700,669,190,76,514,352,247,125,201,421,758,1501,191,1735,524,777,618,996,1145,581,195,1064,455,2565,424,116,366,639,276,2154,484,760,623,1729,735,951,355,964,479,765,1531,475,990,143,624,1553,306,1142,659,463,395,346,689,156,479,325,1507,320,833,418,541,108,672,1198,733,502,346,745,331,457,268,274,240
"hsa-let-7f-1-3p",2,0,1,3,0,0,0,1,0,0,0,13,0,0,0,3,1,26,15,2,1,1,14,7,1,37,0,6,1,0,45,2,53,1,1,4,1,0,3,0,6,0,2,2,0,6,7,3,2,1,0,0,0,2,7,7,1,8,2,1,0,2,1,0,0,0,1,0,0,0,1,2,0,1,2,2,4,0,0,1,1,1,0,4,3,1,1,8,2,0,15,0,2,0,2,2,6,2,1,0,0,7,5,0,1,0,0,15,0,2,0,0,0,0,0,0,0,0,0,1,6,0,1,0,0,1,0,0,2,2,0,2,1,1,0,0,0,0,1,0,0,0,0,7,1,0,6,2,0,24,0,0,6
"hsa-let-7f-5p",17116,7802,8152,25838,17746,8184,10622,9340,20535,16496,7462,70485,17907,21781,18042,41974,80660,1470105,645311,15902,53715,22316,1238140,397855,83498,154486,27049,149095,21593,17875,532395,112374,154854,25997,17759,94578,13955,42960,15222,25701,397905,17061,27015,27089,28880,50694,471190,30787,48155,20740,43357,29951,38682,37856,37347,84233,14898,171008,50240,15270,52756,67180,38044,26993,19919,5583,45785,16578,39127,28137,37944,32873,25275,40694,106045,37126,63063,22181,55990,31325,119618,61235,33057,6946,62812,24397,34003,9473,35194,47993,245698,19528,43576,47864,48000,27859,165350,49472,196313,75122,30599,65455,45531,38726,73361,2461,44825,136486,27165,46074,8447,21002,17647,68262,15756,20941,30480,45477,17118,63311,79694,34057,47368,13829,20361,68614,6071,53524,14487,74288,10817,52518,11099,11089,9741,29448,46632,32120,46855,23418,20624,9785,18762,208200,20862,40478,38714,106103,9239,116704,7362,29890,15135
"hsa-let-7g-5p",1758,1419,1713,4686,1731,1644,1588,2492,4333,3135,1452,5837,2253,2707,2058,6687,7468,107660,40296,1807,6744,2448,74246,31134,7286,44007,5463,17507,3560,4054,70063,10613,49206,4005,3309,22682,2806,4993,2884,5339,26239,4676,7198,5142,4782,9335,46395,3590,14459,3858,3771,6651,6282,5175,10321,24060,1960,15158,6011,2338,4973,8736,2990,3089,1920,658,3161,2448,8687,2511,4127,3612,4324,4857,4336,4051,10422,2433,5562,1617,17627,5527,4107,890,7422,4106,3599,949,5656,5590,24659,2609,7195,4602,8606,2468,30517,10374,23673,8371,3929,10364,7230,4054,8914,358,6521,25928,2176,5801,986,1853,1890,4708,2415,1508,3092,4480,2802,5246,12107,2297,5644,1037,2817,2896,836,2631,2021,7928,1473,5608,2077,2164,1182,3894,4370,3795,4808,2075,3606,742,1898,24910,3493,4858,4676,12512,634,26375,856,3588,1160
