samplename,condition,ID
earlyOA24,early,A24
earlyOA28,early,A28
earlyOA29,early,A29
earlyOA30,early,A30
earlyOA31,early,A31
earlyOA63,early,A63
earlyOA64,early,A64
earlyOA76,early,A76
earlyOA78,early,A78
earlyOA87,early,A87
earlyOA100,early,A100
earlyOA101,early,A101
earlyOA103,early,A103
earlyOA107,early,A107
earlyOA115,early,A115
earlyOA138,early,A138
earlyOA156,early,A156
earlyOA19,early,A19
earlyOA88,early,A88
earlyOA93,early,A93
earlyOA150,early,A150
earlyOA161,early,A161
earlyOA46,early,A46
earlyOA50,early,A50
earlyOA112,early,A112
earlyOA115W,early,A115W
earlyOA116,early,A116
earlyOA121,early,A121
earlyOA53R,early,A53R
earlyOA54R,early,A54R
earlyOA56R,early,A56R
earlyOA58R,early,A58R
earlyOA168,early,A168
earlyOA102,early,A102
earlyOA109,early,A109
earlyOA124,early,A124
earlyOA145,early,A145
earlyOA149,early,A149
earlyOA151,early,A151
earlyOA77,early,A77
earlyOA98,early,A98
lateOA100,late,A100
lateOA111,late,A111
lateOA25,late,A25
lateOA273,late,A273
lateOA342,late,A342
lateOA44,late,A44
lateOA476,late,A476
lateOA93,late,A93
lateOA259,late,A259
lateOA275,late,A275
lateOA280,late,A280
lateOA305,late,A305
lateOA370,late,A370
lateOA40,late,A40
lateOA411,late,A411
lateOA419,late,A419
lateOA506,late,A506
lateOA69,late,A69
lateOA77,late,A77
lateOA97,late,A97
lateOA121,late,A121
lateOA141,late,A141
lateOA249,late,A249
lateOA251,late,A251
lateOA341,late,A341
lateOA425,late,A425
lateOA48,late,A48
lateOA65,late,A65
lateOA1009,late,A1009
lateOA1057R,late,A1057R
lateOA105R,late,A105R
lateOA138R,late,A138R
lateOA316R,late,A316R
lateOA675,late,A675
lateOA854,late,A854
lateOA903,late,A903
lateOA904,late,A904
lateOA927,late,A927
lateOA968,late,A968
lateOA998,late,A998
lateOA1033,late,A1033
lateOA1068,late,A1068
lateOA1140,late,A1140
lateOA748,late,A748
lateOA754,late,A754
lateOA779,late,A779
lateOA784,late,A784
lateOA825,late,A825
lateOA875,late,A875
lateOA929,late,A929
