samplename,distributionDifference,haemoResult
Patient_1,0.8926411216432601,Clear
Control_10,0.8733077433138527,Clear
Control_11,1.199887103993385,Clear
Patient_13,0.27445191285864823,Clear
Patient_14,0.7036632265934681,Clear
Patient_15,-0.018221037980541865,Clear
Patient_16,0.7237535758315854,Clear
Patient_17,0.5089301196337779,Clear
Patient_18,0.6381409160261899,Clear
Patient_2,0.6049009118143758,Clear
Control_20,0.11520988637324603,Clear
Control_21,0.9322507234590525,Clear
Control_22,0.3276878128485974,Clear
Patient_25,0.7841304471357926,Clear
Patient_26,0.48757331335584375,Clear
Patient_27,0.8372410197378919,Clear
Patient_28,2.018116178395638,Caution
Patient_29,1.0822841206057756,Clear
Patient_3,0.03390728812627586,Clear
Patient_30,0.9709366646323829,Clear
Control_31,2.1423268882392454,Caution
Control_33,2.25093568769201,Caution
Control_34,1.3935228717047892,Clear
Control_35,1.6840316389138419,Clear
Patient_37,-0.04990799638653609,Clear
Patient_38,0.08984915755510059,Clear
Patient_39,0.018679656699250202,Clear
Patient_4,1.0082791841694512,Clear
Patient_40,-0.35917355059823564,Clear
Patient_41,-0.6849159431991492,Clear
Patient_42,-1.306813835181769,Clear
Patient_43,-0.5360862506263162,Clear
Control_44,0.5188091141034423,Clear
Control_45,0.3598493734446757,Clear
Control_46,0.9223404700331503,Clear
Control_47,0.28052864457298554,Clear
Control_49,0.8044155641110251,Clear
Patient_5,0.4649756686944304,Clear
Control_50,-0.2252869934457591,Clear
Patient_6,0.48902132705022794,Clear
Control_7,0.8995607643839039,Clear
Control_9,1.7145698716523974,Clear
