samplename,distributionDifference,haemoResult
P35,1.0858111759568256,Clear
P88,1.4205877972466343,Clear
P129,1.2142843993431462,Clear
P167,0.6648863914044298,Clear
P190,0.9052285602575907,Clear
P276,1.5355536873696414,Clear
P303,2.0354785336055077,Caution
P337,1.286889743888774,Clear
P385,0.8251101643693275,Clear
P391,2.26773606190996,Caution
P444,2.2350618550523187,Caution
P449,2.3798748876443003,Caution
P452,2.6793859890108527,Caution
P465,2.2694412802070865,Caution
P489,2.2220224763325627,Caution
P491,1.7006495689070178,Clear
P504,1.5585396571520054,Clear
P507,2.5381706652261453,Caution
P517,1.4222739699829976,Clear
P520,2.5333433038328934,Caution
P524,1.7103755191809107,Clear
P531,1.6891643068909339,Clear
P536,3.006713906204407,Caution
P540,1.4441164464831981,Clear
P546,1.2923066280010005,Clear
P551,1.5645106103805038,Clear
P554,1.0507796447601052,Clear
P587,2.2586466433346235,Caution
P597,3.2631327967005124,Caution
P606,3.0966326036156104,Caution
P627,2.22246443259203,Caution
P638,2.6729297554551756,Caution
P676,1.752781114455356,Clear
P680,2.645723497467986,Caution
P694,2.60332876905262,Caution
P727,2.752398458068927,Caution
P737,3.070652205698999,Caution
A158,1.299622992168116,Clear
A189,0.9124085246761702,Clear
A223,1.0716820701159842,Clear
A233,0.3397065059349895,Clear
A254,0.897061978404686,Clear
A308,1.7691668488810386,Clear
A319,1.1159640136643327,Clear
A336,1.2180703633319059,Clear
A346,1.6973627681458945,Clear
A350,1.288813857207324,Clear
A426,1.0339042085414878,Clear
A512,1.1463743631427583,Clear
A534,1.8013055811620822,Clear
A557,1.0823131822112977,Clear
A607,2.3391842720552622,Caution
A618,2.5797716555542225,Caution
A640,3.057702393534747,Caution
A642,2.993732918107206,Caution
A649,1.0077812404652606,Clear
A655,2.5224217548712886,Caution
A686,1.8272525213485133,Clear
A695,2.0581136608745716,Caution
A700,2.2136471964542723,Caution
A717,2.09586135277009,Caution
A721,1.7586907019338298,Clear
A724,2.1691523583893186,Caution
A734,2.1084630549597554,Caution
A747,2.5944893921331316,Caution
A755,1.8233419247156926,Clear
A758,1.9402339649481544,Caution
A766,1.72650592662497,Clear
A781,2.082202731921237,Caution
A790,1.28516553826117,Clear
